"","x"
"121","up 9"
"122","forward 5"
"123","forward 7"
"124","down 7"
"125","forward 2"
"126","up 8"
"127","up 6"
"128","down 7"
"129","down 3"
"130","down 5"
"131","down 2"
"132","forward 6"
"133","forward 6"
"134","up 6"
"135","up 2"
"136","forward 4"
"137","forward 7"
"138","forward 1"
"139","down 4"
"140","up 8"
"141","down 3"
"142","up 1"
"143","down 2"
"144","forward 4"
"145","forward 7"
"146","up 1"
"147","down 7"
"148","forward 8"
"149","up 2"
"150","down 8"
"151","up 4"
"152","up 4"
"153","up 2"
"154","down 8"
"155","up 4"
"156","down 6"
"157","up 8"
"158","down 5"
"159","up 5"
"160","down 8"
"161","forward 9"
"162","down 1"
"163","down 5"
"164","forward 3"
"165","forward 3"
"166","up 9"
"167","down 2"
"168","forward 3"
"169","down 6"
"170","forward 1"
"171","forward 9"
"172","forward 3"
"173","down 8"
"174","up 4"
"175","down 1"
"176","down 8"
"177","up 1"
"178","forward 2"
"179","down 7"
"180","up 3"
"181","up 8"
"182","down 2"
"183","up 6"
"184","forward 6"
"185","down 9"
"186","forward 4"
"187","forward 7"
"188","up 9"
"189","forward 3"
"190","forward 2"
"191","down 8"
"192","down 2"
"193","down 5"
"194","down 5"
"195","down 1"
"196","up 7"
"197","down 4"
"198","forward 5"
"199","down 9"
"200","down 5"
"201","down 1"
"202","down 6"
"203","forward 9"
"204","down 6"
"205","forward 3"
"206","down 3"
"207","up 6"
"208","forward 2"
"209","forward 6"
"210","down 2"
"211","down 9"
"212","down 6"
"213","down 1"
"214","down 7"
"215","down 6"
"216","down 6"
"217","up 1"
"218","forward 8"
"219","down 9"
"220","down 6"
"221","down 8"
"222","down 8"
"223","down 6"
"224","down 3"
"225","forward 9"
"226","forward 6"
"227","down 9"
"228","forward 5"
"229","down 6"
"230","down 6"
"231","down 9"
"232","down 7"
"233","down 3"
"234","forward 1"
"235","up 9"
"236","forward 9"
"237","down 7"
"238","forward 4"
"239","down 1"
"240","forward 9"
"241","up 9"
"242","down 7"
"243","forward 5"
"244","down 3"
"245","up 7"
"246","forward 9"
"247","forward 6"
"248","forward 3"
"249","forward 8"
"250","down 4"
"251","down 1"
"252","down 7"
"253","down 7"
"254","up 4"
"255","down 9"
"256","forward 6"
"257","forward 7"
"258","down 8"
"259","forward 2"
"260","forward 2"
"261","forward 9"
"262","forward 6"
"263","forward 9"
"264","up 6"
"265","up 8"
"266","forward 2"
"267","up 3"
"268","forward 9"
"269","forward 1"
"270","down 4"
"271","forward 8"
"272","down 4"
"273","forward 5"
"274","forward 7"
"275","up 2"
"276","forward 5"
"277","down 4"
"278","forward 3"
"279","down 5"
"280","forward 9"
"281","up 3"
"282","forward 8"
"283","down 7"
"284","down 7"
"285","down 9"
"286","forward 2"
"287","down 1"
"288","down 6"
"289","up 8"
"290","down 2"
"291","down 1"
"292","up 3"
"293","down 3"
"294","forward 2"
"295","forward 6"
"296","up 6"
"297","down 3"
"298","up 9"
"299","up 3"
"300","down 8"
"301","up 6"
"302","down 2"
"303","forward 4"
"304","up 1"
"305","down 5"
"306","down 4"
"307","up 9"
"308","up 7"
"309","forward 7"
"310","down 9"
"311","forward 9"
"312","forward 5"
"313","forward 3"
"314","down 4"
"315","up 6"
"316","up 7"
"317","down 7"
"318","down 6"
"319","up 9"
"320","up 4"
"321","down 7"
"322","forward 7"
"323","forward 8"
"324","down 9"
"325","forward 5"
"326","forward 4"
"327","down 5"
"328","forward 8"
"329","forward 5"
"330","up 3"
"331","down 9"
"332","forward 1"
"333","forward 2"
"334","up 3"
"335","down 2"
"336","down 1"
"337","forward 5"
"338","forward 5"
"339","forward 6"
"340","up 2"
"341","forward 3"
"342","down 7"
"343","down 6"
"344","up 3"
"345","down 4"
"346","down 4"
"347","forward 5"
"348","down 3"
"349","up 6"
"350","forward 1"
"351","up 8"
"352","forward 7"
"353","forward 1"
"354","forward 9"
"355","down 2"
"356","up 8"
"357","up 1"
"358","up 4"
"359","forward 9"
"360","forward 3"
"361","forward 5"
"362","down 1"
"363","up 9"
"364","down 1"
"365","forward 3"
"366","down 6"
"367","down 8"
"368","up 4"
"369","forward 6"
"370","up 7"
"371","down 8"
"372","forward 9"
"373","up 2"
"374","down 7"
"375","down 1"
"376","forward 9"
"377","up 7"
"378","forward 3"
"379","forward 9"
"380","forward 1"
"381","forward 1"
"382","down 9"
"383","forward 1"
"384","up 4"
"385","down 5"
"386","forward 4"
"387","down 1"
"388","forward 4"
"389","forward 9"
"390","up 4"
"391","down 3"
"392","down 6"
"393","up 2"
"394","down 6"
"395","down 5"
"396","forward 5"
"397","up 1"
"398","up 9"
"399","forward 8"
"400","up 3"
"401","down 1"
"402","forward 3"
"403","forward 7"
"404","up 6"
"405","up 3"
"406","down 6"
"407","forward 7"
"408","up 6"
"409","down 7"
"410","forward 8"
"411","up 4"
"412","down 8"
"413","up 9"
"414","up 3"
"415","down 3"
"416","forward 8"
"417","down 4"
"418","down 9"
"419","forward 2"
"420","down 7"
"421","up 1"
"422","forward 9"
"423","forward 5"
"424","up 8"
"425","forward 9"
"426","forward 4"
"427","forward 9"
"428","forward 7"
"429","down 4"
"430","up 4"
"431","down 7"
"432","down 4"
"433","down 4"
"434","down 1"
"435","forward 5"
"436","forward 4"
"437","down 1"
"438","down 4"
"439","down 8"
"440","down 3"
"441","forward 7"
"442","forward 4"
"443","down 1"
"444","down 9"
"445","up 3"
"446","forward 2"
"447","down 8"
"448","down 9"
"449","down 2"
"450","down 5"
"451","up 9"
"452","down 9"
"453","up 9"
"454","forward 5"
"455","forward 8"
"456","forward 9"
"457","down 5"
"458","forward 6"
"459","down 8"
"460","down 9"
"461","forward 8"
"462","up 5"
"463","up 9"
"464","up 7"
"465","up 8"
"466","forward 9"
"467","forward 1"
"468","up 6"
"469","down 8"
"470","down 8"
"471","forward 1"
"472","up 1"
"473","forward 8"
"474","forward 6"
"475","down 4"
"476","forward 1"
"477","down 7"
"478","forward 8"
"479","forward 3"
"480","up 3"
"481","down 4"
"482","down 2"
"483","forward 2"
"484","forward 3"
"485","up 4"
"486","down 3"
"487","forward 2"
"488","down 8"
"489","forward 7"
"490","up 3"
"491","down 2"
"492","forward 2"
"493","down 5"
"494","up 6"
"495","up 6"
"496","forward 4"
"497","up 4"
"498","down 8"
"499","forward 8"
"500","down 9"
"501","down 9"
"502","down 6"
"503","down 2"
"504","forward 2"
"505","up 6"
"506","up 5"
"507","forward 3"
"508","forward 3"
"509","up 9"
"510","down 3"
"511","forward 8"
"512","down 5"
"513","forward 5"
"514","forward 7"
"515","down 3"
"516","down 4"
"517","down 1"
"518","down 8"
"519","down 1"
"520","down 1"
"521","forward 9"
"522","forward 3"
"523","down 8"
"524","down 6"
"525","up 9"
"526","forward 1"
"527","forward 5"
"528","up 9"
"529","up 8"
"530","forward 2"
"531","up 8"
"532","down 9"
"533","up 2"
"534","forward 5"
"535","forward 1"
"536","forward 8"
"537","down 3"
"538","forward 4"
"539","down 5"
"540","up 6"
"541","forward 8"
"542","forward 9"
"543","forward 3"
"544","down 1"
"545","down 3"
"546","down 3"
"547","up 4"
"548","forward 9"
"549","down 3"
"550","down 6"
"551","forward 3"
"552","forward 2"
"553","down 6"
"554","down 8"
"555","forward 6"
"556","up 8"
"557","up 3"
"558","up 4"
"559","forward 2"
"560","forward 4"
"561","forward 4"
"562","forward 7"
"563","down 6"
"564","up 8"
"565","down 3"
"566","forward 8"
"567","forward 4"
"568","down 7"
"569","down 5"
"570","forward 6"
"571","forward 4"
"572","forward 6"
"573","down 3"
"574","forward 3"
"575","down 1"
"576","down 7"
"577","forward 3"
"578","forward 2"
"579","forward 7"
"580","down 5"
"581","up 4"
"582","down 6"
"583","down 9"
"584","forward 3"
"585","forward 5"
"586","forward 3"
"587","down 1"
"588","forward 2"
"589","up 5"
"590","up 6"
"591","forward 2"
"592","down 4"
"593","forward 3"
"594","down 4"
"595","down 1"
"596","forward 8"
"597","up 2"
"598","down 3"
"599","down 6"
"600","up 5"
"601","forward 3"
"602","forward 6"
"603","down 3"
"604","forward 1"
"605","down 7"
"606","forward 2"
"607","forward 1"
"608","forward 6"
"609","forward 5"
"610","forward 3"
"611","down 4"
"612","down 8"
"613","forward 1"
"614","up 2"
"615","up 8"
"616","down 4"
"617","forward 9"
"618","up 6"
"619","forward 5"
"620","forward 7"
"621","down 5"
"622","forward 5"
"623","down 1"
"624","forward 4"
"625","forward 5"
"626","up 2"
"627","forward 5"
"628","up 8"
"629","up 1"
"630","forward 2"
"631","down 4"
"632","down 6"
"633","forward 4"
"634","down 2"
"635","down 3"
"636","forward 2"
"637","up 3"
"638","up 4"
"639","forward 2"
"640","down 6"
"641","forward 1"
"642","forward 4"
"643","down 6"
"644","forward 7"
"645","up 2"
"646","forward 7"
"647","forward 6"
"648","up 2"
"649","forward 8"
"650","forward 4"
"651","forward 9"
"652","down 1"
"653","down 8"
"654","forward 3"
"655","forward 2"
"656","down 8"
"657","up 1"
"658","forward 4"
"659","down 8"
"660","forward 2"
"661","forward 8"
"662","up 2"
"663","down 1"
"664","forward 4"
"665","forward 2"
"666","up 4"
"667","up 2"
"668","down 3"
"669","up 8"
"670","forward 3"
"671","up 8"
"672","forward 9"
"673","up 1"
"674","up 5"
"675","down 5"
"676","down 6"
"677","forward 1"
"678","up 5"
"679","up 8"
"680","forward 7"
"681","down 5"
"682","up 4"
"683","forward 2"
"684","up 4"
"685","up 4"
"686","down 2"
"687","forward 6"
"688","forward 2"
"689","down 7"
"690","down 5"
"691","forward 1"
"692","down 2"
"693","down 5"
"694","down 7"
"695","up 8"
"696","down 8"
"697","up 5"
"698","down 1"
"699","forward 5"
"700","down 2"
"701","forward 5"
"702","down 1"
"703","up 7"
"704","up 2"
"705","forward 2"
"706","forward 3"
"707","forward 6"
"708","forward 3"
"709","down 8"
"710","up 8"
"711","forward 8"
"712","forward 1"
"713","forward 7"
"714","up 2"
"715","forward 9"
"716","down 1"
"717","forward 5"
"718","up 9"
"719","forward 3"
"720","forward 7"
"721","forward 8"
"722","up 1"
"723","down 3"
"724","forward 5"
"725","down 2"
"726","forward 6"
"727","forward 3"
"728","down 9"
"729","up 5"
"730","forward 2"
"731","down 4"
"732","up 1"
"733","forward 4"
"734","up 4"
"735","down 8"
"736","down 8"
"737","forward 3"
"738","forward 8"
"739","down 7"
"740","up 3"
"741","forward 1"
"742","up 3"
"743","forward 9"
"744","forward 7"
"745","forward 1"
"746","down 6"
"747","forward 3"
"748","down 1"
"749","down 8"
"750","forward 5"
"751","forward 3"
"752","up 6"
"753","forward 5"
"754","forward 4"
"755","forward 3"
"756","forward 9"
"757","forward 8"
"758","down 6"
"759","down 2"
"760","forward 7"
"761","forward 6"
"762","up 6"
"763","down 6"
"764","down 4"
"765","down 3"
"766","forward 8"
"767","down 9"
"768","up 5"
"769","forward 3"
"770","forward 2"
"771","down 5"
"772","up 4"
"773","down 6"
"774","down 3"
"775","forward 9"
"776","down 2"
"777","forward 9"
"778","forward 8"
"779","up 1"
"780","down 2"
"781","forward 7"
"782","up 5"
"783","up 6"
"784","down 8"
"785","up 9"
"786","up 8"
"787","forward 1"
"788","forward 5"
"789","down 9"
"790","forward 8"
"791","down 8"
"792","up 1"
"793","down 7"
"794","forward 7"
"795","up 3"
"796","down 3"
"797","down 1"
"798","forward 2"
"799","down 3"
"800","forward 9"
"801","forward 2"
"802","down 8"
"803","down 2"
"804","forward 5"
"805","down 9"
"806","down 1"
"807","down 5"
"808","down 6"
"809","up 4"
"810","up 3"
"811","down 1"
"812","up 7"
"813","forward 6"
"814","down 3"
"815","down 6"
"816","up 5"
"817","forward 8"
"818","up 8"
"819","down 1"
"820","down 2"
"821","up 8"
"822","down 7"
"823","forward 7"
"824","forward 4"
"825","down 8"
"826","down 3"
"827","forward 3"
"828","down 4"
"829","forward 3"
"830","down 6"
"831","forward 4"
"832","forward 7"
"833","forward 9"
"834","up 7"
"835","forward 1"
"836","down 7"
"837","down 8"
"838","down 8"
"839","up 6"
"840","down 3"
"841","forward 5"
"842","forward 5"
"843","forward 9"
"844","forward 4"
"845","down 4"
"846","down 8"
"847","down 7"
"848","down 1"
"849","forward 2"
"850","forward 4"
"851","down 3"
"852","down 6"
"853","down 7"
"854","forward 5"
"855","down 8"
"856","down 1"
"857","forward 4"
"858","forward 3"
"859","forward 1"
"860","down 6"
"861","down 7"
"862","down 1"
"863","forward 6"
"864","down 4"
"865","up 2"
"866","forward 4"
"867","down 2"
"868","up 5"
"869","down 2"
"870","down 6"
"871","up 7"
"872","forward 4"
"873","forward 7"
"874","forward 9"
"875","up 5"
"876","down 9"
"877","up 5"
"878","forward 6"
"879","down 2"
"880","up 8"
"881","up 9"
"882","up 9"
"883","forward 5"
"884","down 2"
"885","forward 2"
"886","down 7"
"887","forward 5"
"888","forward 9"
"889","up 8"
"890","down 8"
"891","forward 1"
"892","down 2"
"893","up 3"
"894","forward 3"
"895","down 5"
"896","forward 4"
"897","down 3"
"898","forward 4"
"899","forward 9"
"900","forward 3"
"901","down 5"
"902","forward 4"
"903","down 2"
"904","forward 5"
"905","forward 8"
"906","up 6"
"907","up 2"
"908","down 3"
"909","forward 6"
"910","down 5"
"911","down 4"
"912","down 4"
"913","down 4"
"914","up 2"
"915","up 2"
"916","forward 6"
"917","forward 2"
"918","forward 9"
"919","down 2"
"920","down 9"
"921","down 8"
"922","forward 2"
"923","down 3"
"924","up 3"
"925","forward 5"
"926","down 4"
"927","up 3"
"928","forward 3"
"929","down 1"
"930","forward 7"
"931","forward 5"
"932","forward 6"
"933","down 8"
"934","down 5"
"935","down 5"
"936","down 9"
"937","up 2"
"938","forward 3"
"939","down 4"
"940","down 9"
"941","forward 3"
"942","forward 9"
"943","forward 2"
"944","forward 4"
"945","up 6"
"946","down 6"
"947","up 9"
"948","forward 8"
"949","down 7"
"950","forward 1"
"951","forward 4"
"952","up 1"
"953","up 2"
"954","down 9"
"955","forward 6"
"956","down 6"
"957","down 1"
"958","down 4"
"959","down 7"
"960","down 6"
"961","forward 5"
"962","up 1"
"963","up 7"
"964","down 2"
"965","down 8"
"966","down 2"
"967","down 7"
"968","down 3"
"969","up 9"
"970","down 7"
"971","down 5"
"972","down 6"
"973","forward 9"
"974","up 3"
"975","forward 2"
"976","down 8"
"977","forward 4"
"978","down 6"
"979","forward 3"
"980","up 3"
"981","down 5"
"982","up 4"
"983","forward 6"
"984","forward 7"
"985","forward 9"
"986","down 3"
"987","forward 7"
"988","forward 3"
"989","down 4"
"990","up 4"
"991","down 8"
"992","forward 6"
"993","forward 7"
"994","forward 9"
"995","forward 4"
"996","down 3"
"997","up 5"
"998","down 7"
"999","down 7"
"1000","forward 9"
