"","x"
"442","111100101011"
"443","000010001101"
"444","001001100001"
"445","111010111001"
"446","101000001011"
"447","000000010010"
"448","100010000111"
"449","111111111110"
"450","000001011010"
"451","010110101000"
"452","010101000011"
"453","110011101010"
"454","100101101110"
"455","111100100000"
"456","100000000010"
"457","000110101101"
"458","011011110000"
"459","111011101101"
"460","011011101111"
"461","010100000001"
"462","101110000000"
"463","110001001111"
"464","001001011011"
"465","010101000100"
"466","011000111110"
"467","010110111001"
"468","110111001000"
"469","000101000101"
"470","101011000011"
"471","111000001110"
"472","111011110011"
"473","100111000101"
"474","110000111001"
"475","100011010000"
"476","111110010001"
"477","001100010101"
"478","110100010010"
"479","100100101100"
"480","101010101100"
"481","001000111100"
"482","110010101010"
"483","100011001101"
"484","000001110111"
"485","010101010111"
"486","100000001111"
"487","100010011001"
"488","010010101000"
"489","111100001110"
"490","101010001101"
"491","110011000001"
"492","011101011101"
"493","001100001111"
"494","101111111111"
"495","111010101000"
"496","110001111010"
"497","111111001010"
"498","011111001010"
"499","010001010100"
"500","101010100011"
"501","100111110110"
"502","111101100101"
"503","101001100110"
"504","010001011111"
"505","010011001111"
"506","101110011010"
"507","111011000111"
"508","011011111101"
"509","000001001110"
"510","101000010110"
"511","010110010100"
"512","000110100101"
"513","011000000010"
"514","011001001000"
"515","101100000011"
"516","111001100011"
"517","010101001001"
"518","011100110111"
"519","101111100110"
"520","111001111010"
"521","000000110110"
"522","001110011101"
"523","101110001011"
"524","011000010001"
"525","111111000011"
"526","101111000110"
"527","001010101010"
"528","011110111011"
"529","101000101010"
"530","011111000110"
"531","101011010110"
"532","001111001011"
"533","001011111111"
"534","111011010011"
"535","001101011010"
"536","000111010001"
"537","110011111001"
"538","100010101100"
"539","010001100111"
"540","011110110100"
"541","100111100101"
"542","101110001000"
"543","000100110001"
"544","100110110110"
"545","000111101110"
"546","110111101100"
"547","001001101001"
"548","100111100100"
"549","110100000100"
"550","110000100100"
"551","111110011010"
"552","100111010000"
"553","000111011100"
"554","101011110001"
"555","101110111110"
"556","001111111000"
"557","001010100100"
"558","000001111011"
"559","100001001110"
"560","010000110000"
"561","110011001110"
"562","001101111110"
"563","101100101100"
"564","010101011111"
"565","011000001101"
"566","111111101000"
"567","100011010110"
"568","101000011000"
"569","100011110101"
"570","111001110011"
"571","111001011001"
"572","110011100010"
"573","111110110011"
"574","101110011100"
"575","001111100010"
"576","000101010011"
"577","100011101101"
"578","011110110110"
"579","010011000101"
"580","010100101110"
"581","001100010010"
"582","010111001011"
"583","111000011000"
"584","010101001000"
"585","100011100101"
"586","111101001110"
"587","100111110101"
"588","110001000111"
"589","110100011100"
"590","010101010000"
"591","101001010101"
"592","001110000001"
"593","010100111010"
"594","100111011000"
"595","110100000011"
"596","000011100110"
"597","001011100111"
"598","111010110101"
"599","001100101000"
"600","111001101101"
"601","011101100101"
"602","110110111000"
"603","000010010011"
"604","010111101001"
"605","111110111010"
"606","100011010001"
"607","111011111100"
"608","101001110000"
"609","111100101100"
"610","011001010000"
"611","101111001101"
"612","100111001111"
"613","011011000011"
"614","101001001100"
"615","001101001100"
"616","110001001010"
"617","111100011010"
"618","101000010101"
"619","110001011111"
"620","011010001111"
"621","011101000100"
"622","010100100001"
"623","010110100001"
"624","101110100001"
"625","010000100010"
"626","010000111111"
"627","110111010111"
"628","010100000011"
"629","111111111000"
"630","101111101100"
"631","011110110001"
"632","111001010000"
"633","011101101000"
"634","001111110100"
"635","000101111011"
"636","101110111010"
"637","001111001001"
"638","111111110101"
"639","011011100100"
"640","101101101100"
"641","110111101001"
"642","000000111001"
"643","010100010000"
"644","100001001010"
"645","111010100111"
"646","101100001111"
"647","110001001001"
"648","011001001001"
"649","001110101100"
"650","001001110101"
"651","101011111011"
"652","010011011000"
"653","001010010000"
"654","001010001101"
"655","011000001110"
"656","100111111110"
"657","011011010011"
"658","011100011101"
"659","101100110100"
"660","101111000101"
"661","100111100110"
"662","110110000100"
"663","101111100001"
"664","000100011101"
"665","010100101111"
"666","000000001000"
"667","010110010010"
"668","000000000010"
"669","111010010001"
"670","111010111101"
"671","001001000011"
"672","101001010010"
"673","100000001101"
"674","101111101000"
"675","011100001011"
"676","110111100111"
"677","111111000110"
"678","110101001010"
"679","010001011110"
"680","000101100001"
"681","000011100100"
"682","101101110101"
"683","011110100100"
"684","110110101101"
"685","000010010111"
"686","100011010111"
"687","101000110001"
"688","011111010110"
"689","111001001010"
"690","000011000111"
"691","001111001111"
"692","101011001000"
"693","100000111111"
"694","110100011110"
"695","000000100110"
"696","101110010001"
"697","010011011110"
"698","100100011111"
"699","010101111100"
"700","001011010100"
"701","110011101111"
"702","001000101010"
"703","001101010100"
"704","001111111010"
"705","000101100000"
"706","110101100101"
"707","110010111010"
"708","101110001100"
"709","110100111000"
"710","001100000110"
"711","001000101100"
"712","001010101111"
"713","100010100001"
"714","011001101100"
"715","110000101100"
"716","000111001001"
"717","100001011011"
"718","000110010000"
"719","110100100100"
"720","111101101111"
"721","111001100110"
"722","101010001110"
"723","101001011110"
"724","101001111100"
"725","000100101010"
"726","111100011000"
"727","100100001100"
"728","101100001010"
"729","100000100001"
"730","001110010011"
"731","011100011110"
"732","000000101010"
"733","011000010111"
"734","010011110111"
"735","001111101010"
"736","000011110000"
"737","110001111011"
"738","011001110010"
"739","001110010010"
"740","110011110011"
"741","111111100111"
"742","101101100101"
"743","110101111100"
"744","100011110011"
"745","001111011010"
"746","111110111100"
"747","101110001111"
"748","101001111000"
"749","100011100111"
"750","110010001011"
"751","000010000110"
"752","110001010011"
"753","101011011110"
"754","001111101001"
"755","000010001011"
"756","110000101101"
"757","111111100011"
"758","100111001100"
"759","101110111000"
"760","111010000001"
"761","101100100100"
"762","110111000111"
"763","000111111110"
"764","111111000100"
"765","100000001001"
"766","101101100010"
"767","000011001101"
"768","111000001101"
"769","110111010110"
"770","010110100011"
"771","101000101000"
"772","010010101101"
"773","110011011110"
"774","111000000000"
"775","011110111010"
"776","000000010011"
"777","100110110101"
"778","101100011100"
"779","111111100010"
"780","100110001001"
"781","100011000010"
"782","011010000111"
"783","111101000111"
"784","111000011101"
"785","101111101010"
"786","100110100100"
"787","010101011110"
"788","001000011010"
"789","110101000100"
"790","001100100101"
"791","010100011110"
"792","001100110101"
"793","101101000010"
"794","010100111100"
"795","110000000000"
"796","101011101001"
"797","111100110010"
"798","100111010010"
"799","010000001110"
"800","011011010000"
"801","011011100111"
"802","110101000011"
"803","100100101000"
"804","000110001001"
"805","110001010110"
"806","100100001101"
"807","010001110001"
"808","101110101111"
"809","100110001010"
"810","011100110101"
"811","001001100100"
"812","001101100001"
"813","100010101111"
"814","101111101101"
"815","111110000010"
"816","001100001100"
"817","111111001000"
"818","001111001010"
"819","000000100111"
"820","001011010011"
"821","011110000111"
"822","010111011110"
"823","111110000011"
"824","100000111000"
"825","010010111101"
"826","010000000011"
"827","010111110110"
"828","011000100101"
"829","110011101011"
"830","001100101010"
"831","101101001000"
"832","000100000000"
"833","111010110110"
"834","100101001110"
"835","001000001110"
"836","011010111000"
"837","110110011000"
"838","110011001001"
"839","101000000101"
"840","010110011101"
"841","110110010111"
"842","010011110000"
"843","111110011000"
"844","100010101001"
"845","110111000001"
"846","001000110001"
"847","101011001100"
"848","111111100101"
"849","011110010111"
"850","011001111100"
"851","010010011010"
"852","001111011110"
"853","110001100010"
"854","001000110011"
"855","110101101101"
"856","110010011100"
"857","010111101010"
"858","001110101010"
"859","010101101000"
"860","001011000110"
"861","010101111011"
"862","101100001100"
"863","110100010100"
"864","001101000010"
"865","101110110110"
"866","001100100111"
"867","101010001010"
"868","110000100110"
"869","010100110111"
"870","101111110101"
"871","110000101001"
"872","000001010001"
"873","001000000011"
"874","101100100101"
"875","111001001111"
"876","010100001001"
"877","100001010111"
"878","000010110000"
"879","001110001110"
"880","111010000111"
"881","100100111011"
"882","101101010011"
"883","100010110100"
"884","110001001100"
"885","110001010010"
"886","101100100010"
"887","011100100011"
"888","010110000110"
"889","000011010000"
"890","000100111100"
"891","111011110111"
"892","001101101111"
"893","001101011101"
"894","010110101011"
"895","000100100100"
"896","100001100001"
"897","100001110000"
"898","010101111001"
"899","001011011001"
"900","111100000100"
"901","011000001010"
"902","111110001011"
"903","000001101111"
"904","000101011011"
"905","011010011100"
"906","001001110011"
"907","011010011001"
"908","100010011100"
"909","010000110001"
"910","111101100001"
"911","011011010100"
"912","010011111011"
"913","101000010011"
"914","100101111101"
"915","000100111010"
"916","101110111100"
"917","111100111101"
"918","000111000110"
"919","111100000110"
"920","001010100110"
"921","000000100011"
"922","110010001001"
"923","101111001001"
"924","100101100010"
"925","111101001011"
"926","001110111000"
"927","100001000011"
"928","100101100000"
"929","100010010100"
"930","010001000110"
"931","101100111100"
"932","101011101110"
"933","001001101111"
"934","010110000000"
"935","010011100011"
"936","001001110110"
"937","101001011000"
"938","000011001000"
"939","010010011001"
"940","101110010010"
"941","000101010110"
"942","111100101000"
"943","111000100101"
"944","101110000111"
"945","000110011011"
"946","101101001101"
"947","001000111101"
"948","110111000100"
"949","000001001010"
"950","111100001010"
"951","001011101110"
"952","111001000000"
"953","001111111011"
"954","101100000101"
"955","001001011111"
"956","001001000100"
"957","000001010000"
"958","101010000100"
"959","010010111111"
"960","101010101000"
"961","111101111011"
"962","001111010110"
"963","001010011010"
"964","001101001011"
"965","100001000100"
"966","001111110101"
"967","011000100010"
"968","101111001100"
"969","101110110011"
"970","101101110111"
"971","001100100011"
"972","110010000111"
"973","011110110000"
"974","101100011010"
"975","100110010010"
"976","000100101111"
"977","011000011010"
"978","110000010000"
"979","001100101100"
"980","111110100100"
"981","101010001000"
"982","101111110000"
"983","101011110010"
"984","100101101000"
"985","100010100011"
"986","011011011000"
"987","000001010110"
"988","100100100101"
"989","111100101010"
"990","100010110000"
"991","100100111010"
"992","001010110100"
"993","110011100111"
"994","010001010001"
"995","110100011010"
"996","100011111110"
"997","101001010000"
"998","011100100110"
"999","111000101010"
"1000","001111001000"
